Delay_s,ScheduleStartMission_s,FirstBurnMission_s,EntryMission_s,Miss_m,Status,EndpointLatitude_deg,EndpointLongitude_deg
73800,117476.731705844,117476.731705844,119634.615871088,9340780.74432104,SCREEN_ONLY,14.7302023708449,37.1708070975101
74400,118076.731705844,118076.731705844,120251.659336658,12324984.0240982,SCREEN_ONLY,-28.0026038521921,34.4763825579794
75000,118676.731705844,118676.731705844,120842.258010689,13962396.476324,SCREEN_ONLY,-62.3129219979291,32.3513801919566
75600,119276.731705844,119276.731705844,121421.914550658,13950741.1433849,SCREEN_ONLY,-84.9821422838994,-151.29925624282
76200,119876.731705844,119876.731705844,122020.220454558,12010677.0604772,SCREEN_ONLY,-46.7224245633184,-152.696281480125
76800,120476.731705844,120476.731705844,122640.507629736,8795174.25674185,SCREEN_ONLY,-2.87792397565871,-155.443330491698
77400,121076.731705844,121076.731705844,123252.255024126,6173579.1970641,SCREEN_ONLY,37.9320076833012,-158.016400382658
78000,121676.731705844,121676.731705844,123837.198228416,5469891.47724752,SCREEN_ONLY,70.7755026931552,-159.978345051798
78600,122276.731705844,122276.731705844,124419.591521891,6715544.76767469,SCREEN_ONLY,75.4192908096936,17.0247236300692
79200,122876.731705844,122876.731705844,125024.767493283,9638996.88360365,SCREEN_ONLY,35.3820010702952,14.7325349910293
79800,123476.731705844,123476.731705844,125646.046776001,13144162.1255918,SCREEN_ONLY,-8.80160039276793,11.9526978688365
80400,124076.731705844,124076.731705844,126249.94396898,15121018.2685508,SCREEN_ONLY,-47.1468799440991,9.53872248412607
81000,124676.731705844,124676.731705844,126830.616655838,14660093.3842705,SCREEN_ONLY,-79.2736893833831,7.84816011978386
81600,125276.731705844,125276.731705844,127417.592310705,12272160.212745,SCREEN_ONLY,-65.484963476023,-175.319763396828
82200,125876.731705844,125876.731705844,128029.673809522,8624277.28543874,SCREEN_ONLY,-23.7650072067013,-177.862910518613
82800,126476.731705844,126476.731705844,128650.104266133,5073148.21867641,SCREEN_ONLY,19.9702676753064,179.380919262771
83400,127076.731705844,127076.731705844,129246.670012,4082912.53391639,SCREEN_ONLY,55.9048656969774,177.131446319302
84000,127676.731705844,127676.731705844,129826.022217137,5816701.16495671,SCREEN_ONLY,88.1284093992535,178.168065650013
84600,128276.731705844,128276.731705844,130418.992113315,9107610.43831218,SCREEN_ONLY,54.9559772835216,-7.79749368893171
85200,128876.731705844,128876.731705844,131036.087745581,13276462.5345449,SCREEN_ONLY,11.8685878539272,-10.4790380336683
85800,129476.731705844,129476.731705844,131651.922083274,16616726.3454882,SCREEN_ONLY,-30.4565270036384,-13.1479462935091
86400,130076.731705844,130076.731705844,132240.922334806,16193905.513115,SCREEN_ONLY,-64.337912416389,-15.2348024184886
